variant_group_id,question_id,detection_reason,review_status
vg_d6c7a5b1f833,23,exact_stem|normalised_stem,legitimate_visual_scenario_collection
vg_d6c7a5b1f833,24,exact_stem|normalised_stem,legitimate_visual_scenario_collection
vg_d6c7a5b1f833,29,exact_stem|normalised_stem,legitimate_visual_scenario_collection
vg_d6c7a5b1f833,30,exact_stem|normalised_stem,legitimate_visual_scenario_collection
vg_d6c7a5b1f833,31,exact_stem|normalised_stem,legitimate_visual_scenario_collection
vg_d6c7a5b1f833,32,exact_stem|normalised_stem,legitimate_visual_scenario_collection
vg_d6c7a5b1f833,33,exact_stem|normalised_stem,legitimate_visual_scenario_collection
vg_d6c7a5b1f833,34,exact_stem|normalised_stem,legitimate_visual_scenario_collection
vg_d6c7a5b1f833,35,exact_stem|normalised_stem,legitimate_visual_scenario_collection
vg_d6c7a5b1f833,36,exact_stem|normalised_stem,legitimate_visual_scenario_collection
vg_d6c7a5b1f833,37,exact_stem|normalised_stem,legitimate_visual_scenario_collection
vg_d6c7a5b1f833,38,exact_stem|normalised_stem,legitimate_visual_scenario_collection
vg_d6c7a5b1f833,39,exact_stem|normalised_stem,legitimate_visual_scenario_collection
vg_d6c7a5b1f833,40,exact_stem|normalised_stem,legitimate_visual_scenario_collection
vg_d6c7a5b1f833,41,exact_stem|normalised_stem,legitimate_visual_scenario_collection
vg_d6c7a5b1f833,42,exact_stem|normalised_stem,legitimate_visual_scenario_collection
vg_d6c7a5b1f833,43,exact_stem|normalised_stem,legitimate_visual_scenario_collection
vg_d6c7a5b1f833,44,exact_stem|normalised_stem,legitimate_visual_scenario_collection
vg_d6c7a5b1f833,45,exact_stem|normalised_stem,legitimate_visual_scenario_collection
vg_d6c7a5b1f833,46,exact_stem|normalised_stem,legitimate_visual_scenario_collection
vg_d6c7a5b1f833,47,exact_stem|normalised_stem,legitimate_visual_scenario_collection
vg_d6c7a5b1f833,48,exact_stem|normalised_stem,legitimate_visual_scenario_collection
vg_d6c7a5b1f833,49,exact_stem|normalised_stem,legitimate_visual_scenario_collection
vg_d6c7a5b1f833,50,exact_stem|normalised_stem,legitimate_visual_scenario_collection
vg_d6c7a5b1f833,51,exact_stem|normalised_stem,legitimate_visual_scenario_collection
vg_d6c7a5b1f833,52,exact_stem|normalised_stem,legitimate_visual_scenario_collection
vg_d6c7a5b1f833,55,exact_stem|normalised_stem,legitimate_visual_scenario_collection
vg_d6c7a5b1f833,56,exact_stem|normalised_stem,legitimate_visual_scenario_collection
vg_d6c7a5b1f833,57,exact_stem|normalised_stem,legitimate_visual_scenario_collection
vg_d6c7a5b1f833,65,exact_stem|normalised_stem,legitimate_visual_scenario_collection
vg_d6c7a5b1f833,77,exact_stem|normalised_stem,legitimate_visual_scenario_collection
vg_d6c7a5b1f833,86,exact_stem|normalised_stem,legitimate_visual_scenario_collection
vg_d6c7a5b1f833,87,exact_stem|normalised_stem,legitimate_visual_scenario_collection
vg_d6c7a5b1f833,89,exact_stem|normalised_stem,legitimate_visual_scenario_collection
vg_d6c7a5b1f833,91,exact_stem|normalised_stem,legitimate_visual_scenario_collection
vg_d6c7a5b1f833,92,exact_stem|normalised_stem,legitimate_visual_scenario_collection
vg_d6c7a5b1f833,93,exact_stem|normalised_stem,legitimate_visual_scenario_collection
vg_d6c7a5b1f833,94,exact_stem|normalised_stem,legitimate_visual_scenario_collection
vg_d6c7a5b1f833,95,exact_stem|normalised_stem,legitimate_visual_scenario_collection
vg_d6c7a5b1f833,96,exact_stem|normalised_stem,legitimate_visual_scenario_collection
vg_d6c7a5b1f833,97,exact_stem|normalised_stem,legitimate_visual_scenario_collection
vg_d6c7a5b1f833,100,exact_stem|normalised_stem,legitimate_visual_scenario_collection
vg_d6c7a5b1f833,101,exact_stem|normalised_stem,legitimate_visual_scenario_collection
vg_d6c7a5b1f833,102,exact_stem|normalised_stem,legitimate_visual_scenario_collection
vg_d6c7a5b1f833,103,exact_stem|normalised_stem,legitimate_visual_scenario_collection
vg_d6c7a5b1f833,104,exact_stem|normalised_stem,legitimate_visual_scenario_collection
vg_d6c7a5b1f833,105,exact_stem|normalised_stem,legitimate_visual_scenario_collection
vg_d6c7a5b1f833,106,exact_stem|normalised_stem,legitimate_visual_scenario_collection
vg_d6c7a5b1f833,107,exact_stem|normalised_stem,legitimate_visual_scenario_collection
vg_d6c7a5b1f833,108,exact_stem|normalised_stem,legitimate_visual_scenario_collection
vg_d6c7a5b1f833,109,exact_stem|normalised_stem,legitimate_visual_scenario_collection
vg_d6c7a5b1f833,110,exact_stem|normalised_stem,legitimate_visual_scenario_collection
vg_d6c7a5b1f833,111,exact_stem|normalised_stem,legitimate_visual_scenario_collection
vg_d6c7a5b1f833,112,exact_stem|normalised_stem,legitimate_visual_scenario_collection
vg_d6c7a5b1f833,113,exact_stem|normalised_stem,legitimate_visual_scenario_collection
vg_d6c7a5b1f833,116,exact_stem|normalised_stem,legitimate_visual_scenario_collection
vg_d6c7a5b1f833,117,exact_stem|normalised_stem,legitimate_visual_scenario_collection
vg_d6c7a5b1f833,136,exact_stem|normalised_stem,legitimate_visual_scenario_collection
vg_d6c7a5b1f833,137,exact_stem|normalised_stem,legitimate_visual_scenario_collection
vg_d6c7a5b1f833,138,exact_stem|normalised_stem,legitimate_visual_scenario_collection
vg_d6c7a5b1f833,139,exact_stem|normalised_stem,legitimate_visual_scenario_collection
vg_d6c7a5b1f833,141,exact_stem|normalised_stem,legitimate_visual_scenario_collection
vg_d6c7a5b1f833,142,exact_stem|normalised_stem,legitimate_visual_scenario_collection
vg_d6c7a5b1f833,143,exact_stem|normalised_stem,legitimate_visual_scenario_collection
vg_d6c7a5b1f833,144,exact_stem|normalised_stem,legitimate_visual_scenario_collection
vg_d6c7a5b1f833,145,exact_stem|normalised_stem,legitimate_visual_scenario_collection
vg_d6c7a5b1f833,146,exact_stem|normalised_stem,legitimate_visual_scenario_collection
vg_d6c7a5b1f833,147,exact_stem|normalised_stem,legitimate_visual_scenario_collection
vg_d6c7a5b1f833,148,exact_stem|normalised_stem,legitimate_visual_scenario_collection
vg_d6c7a5b1f833,149,exact_stem|normalised_stem,legitimate_visual_scenario_collection
